# File:UrbanShare_SSP.csv
# Title: country level urban share from SSP database across SSPs
# Units:ppl, constant 2015 prices
# Source: SSP database
# Column types: cccccnnnnnnnnnn
# ----------
MODEL,SCENARIO,REGION,VARIABLE,UNIT,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
NCAR,SSP1_v9_130115,OMN,Population|Urban|Share,%,73.035,80.08649469,84.32508276,87.09668756,89.03134953,90.45062821,91.53259128,92.38279341,93.06739139,93.62979348
NCAR,SSP1_v9_130115,PAK,Population|Urban|Share,%,35.895,45.3904306,54.60013068,62.93887385,70.11739219,76.09002708,80.95341109,84.86283784,87.98256141,90.46249613
NCAR,SSP1_v9_130115,PAN,Population|Urban|Share,%,74.799,82.0630548,86.19236934,88.80529652,90.59210904,91.88521635,92.86176662,93.62400192,94.23477021,94.73471
NCAR,SSP1_v9_130115,PER,Population|Urban|Share,%,76.92,83.77923977,87.66215191,90.11883162,91.80036367,93.01868722,93.93979099,94.65946965,95.2366397,95.70942775
NCAR,SSP1_v9_130115,PHL,Population|Urban|Share,%,48.903,57.51302355,65.37444654,72.22516632,77.98669509,82.7074031,86.50350712,89.51571961,91.8834479,93.73211891
NCAR,SSP1_v9_130115,PNG,Population|Urban|Share,%,12.526,18.76302615,26.91180542,36.64155889,47.1656216,57.50118527,66.83140743,74.71004377,81.04344994,85.96154857
NCAR,SSP1_v9_130115,POL,Population|Urban|Share,%,60.958,68.21314718,74.66633779,80.17974054,84.73149524,88.38474226,91.25128161,93.46101733,95.1413498,96.40592774
NCAR,SSP1_v9_130115,PRK,Population|Urban|Share,%,60.215,66.96319536,73.41216957,79.26243527,84.29556619,88.41346873,91.63586524,94.06562315,95.84465969,97.11849764
NCAR,SSP1_v9_130115,PRT,Population|Urban|Share,%,60.703,67.89907169,74.44453759,80.13034794,84.86667697,88.67121415,91.63634288,93.89203451,95.57607312,96.81552447
NCAR,SSP1_v9_130115,PRY,Population|Urban|Share,%,61.495,68.97106177,75.42398254,80.80034098,85.15933306,88.62144715,91.32925285,93.42304944,95.02842944,96.25163752
NCAR,SSP1_v9_130115,PSE,Population|Urban|Share,%,74.144,81.37431456,85.55111572,88.21812762,90.05192475,91.38368782,92.39177776,93.17988065,93.81206228,94.32990842
NCAR,SSP1_v9_130115,QAT,Population|Urban|Share,%,95.831,96.54649883,97.14286226,97.63876208,98.05031838,98.39132359,98.67349285,98.90671827,99.09931248,99.25823345
NCAR,SSP1_v9_130115,ROU,Population|Urban|Share,%,57.467,64.92438445,71.72080824,77.65595578,82.64853382,86.71752004,89.94908135,92.4631947,94.38793022,95.84337604
NCAR,SSP1_v9_130115,RUS,Population|Urban|Share,%,73.167,80.32304486,84.6007417,87.38794526,89.32898074,90.75075549,91.83353154,92.68383024,93.36825538,93.93042731
NCAR,SSP1_v9_130115,RWA,Population|Urban|Share,%,18.854,26.75587429,36.14378189,46.3040219,56.34193917,65.49636157,73.32758286,79.71515403,84.75190256,88.63169377
NCAR,SSP1_v9_130115,SAU,Population|Urban|Share,%,82.074,84.85107363,87.26355463,89.33927354,91.11054953,92.61142579,93.87561694,94.93511272,95.81932828,96.55467519
NCAR,SSP1_v9_130115,SDN,Population|Urban|Share,%,40.104,50.47117969,59.78200787,67.62256614,73.98808375,79.06747562,83.09756167,86.2970111,88.84636506,90.8877486
NCAR,SSP1_v9_130115,SEN,Population|Urban|Share,%,42.379,51.95036328,60.63136346,68.08069785,74.25367144,79.26851521,83.30228769,86.53419685,89.12223156,91.19720397
NCAR,SSP1_v9_130115,SLE,Population|Urban|Share,%,38.395,47.4040256,55.95014021,63.60118726,70.17612042,75.6775393,80.20703744,83.90291432,86.90517275,89.33980352
NCAR,SSP1_v9_130115,SLV,Population|Urban|Share,%,64.305,72.43416835,78.18647197,82.33831566,85.41774806,87.76390201,89.59488958,91.05391107,92.2374707,93.21234871
NCAR,SSP1_v9_130115,SOM,Population|Urban|Share,%,37.448,46.28127956,54.73503921,62.37220299,68.99115249,74.57177203,79.19764749,82.99506927,86.09690288,88.62531003
NCAR,SSP1_v9_130115,SRB,Population|Urban|Share,%,56.061,63.65055683,70.49918774,76.44261796,81.43736532,85.52822446,88.81179365,91.40652766,93.43252963,95.00010109
NCAR,SSP1_v9_130115,SVK,Population|Urban|Share,%,54.967,63.16321355,70.5452699,76.89673272,82.16027375,86.39431035,89.72257049,92.29328375,94.25280333,95.73177156
NCAR,SSP1_v9_130115,SVN,Population|Urban|Share,%,49.505,57.98738181,65.77119699,72.58805289,78.34220256,83.0649756,86.86108392,89.86577893,92.21740508,94.04277399
NCAR,SSP1_v9_130115,SWE,Population|Urban|Share,%,84.682,87.04197404,88.95314659,90.51908681,91.81582146,92.89982003,93.81358561,94.58954487,95.25276502,95.82286826
NCAR,SSP1_v9_130115,SWZ,Population|Urban|Share,%,21.373,30.2763959,40.00959205,49.55702386,58.16569933,65.5050571,71.56527372,76.49438026,80.48509988,83.72033904
NCAR,SSP1_v9_130115,SYR,Population|Urban|Share,%,55.741,63.83669319,71.09039298,77.30898769,82.45219292,86.58726952,89.84005008,92.35672682,94.27976736,95.73558895
NCAR,SSP1_v9_130115,TCD,Population|Urban|Share,%,27.625,37.69912915,48.09717674,57.81635714,66.25623057,73.24108231,78.8613878,83.31751073,86.82723879,89.58585393
NCAR,SSP1_v9_130115,TGO,Population|Urban|Share,%,43.441,53.79342102,63.1550663,71.09257242,77.54306017,82.65115011,86.63638293,89.72036055,92.09689135,93.92462011
NCAR,SSP1_v9_130115,THA,Population|Urban|Share,%,33.963,43.62226565,52.91617456,61.22781417,68.30335021,74.15194253,78.91270426,82.76317716,85.87369737,88.39056782
NCAR,SSP1_v9_130115,TJK,Population|Urban|Share,%,26.319,35.39739276,45.1879412,54.86231232,63.72811311,71.38721808,77.72564817,82.81757066,86.82738599,89.94368921
NCAR,SSP1_v9_130115,TKM,Population|Urban|Share,%,49.502,57.98455319,65.7683499,72.58507739,78.33908872,83.06178755,86.85791958,89.8627367,92.21456431,94.04018773
NCAR,SSP1_v9_130115,TLS,Population|Urban|Share,%,28.122,38.20466974,48.5981565,58.31641199,66.76234668,73.7544053,79.37635171,83.82489495,87.31729844,90.05024584
NCAR,SSP1_v9_130115,TTO,Population|Urban|Share,%,13.877,20.56635999,28.99142235,38.61691876,48.57994654,58.02458177,66.37738704,73.40731155,79.13322111,83.70267066
NCAR,SSP1_v9_130115,TUN,Population|Urban|Share,%,67.284,73.40378015,78.27521942,82.14809707,85.24058791,87.72693881,89.74130882,91.38569728,92.73759438,93.85617906
NCAR,SSP1_v9_130115,TUR,Population|Urban|Share,%,69.649,75.49939321,80.07001606,83.65575964,86.49287311,88.76004295,90.58982052,92.08033601,93.30469261,94.31790113
NCAR,SSP1_v9_130115,TZA,Population|Urban|Share,%,26.383,35.65617289,45.44715328,54.8861298,63.35148853,70.56413054,76.50903397,81.31293268,85.15253914,88.20463729
NCAR,SSP1_v9_130115,UGA,Population|Urban|Share,%,13.295,19.40540431,27.29195956,36.70301023,46.98462994,57.25033518,66.68071159,74.75237174,81.28518762,86.35467782
NCAR,SSP1_v9_130115,UKR,Population|Urban|Share,%,68.787,74.6714553,79.30218477,82.95652856,85.8619626,88.19327664,90.08160194,91.62483036,92.89635028,93.95165844
NCAR,SSP1_v9_130115,URY,Population|Urban|Share,%,92.479,93.48185596,94.35914683,95.12451944,95.79067601,96.36928696,96.87096048,97.30525363,97.6807125,98.00493127
NCAR,SSP1_v9_130115,USA,Population|Urban|Share,%,82.286,85.06050235,87.4757245,89.55520151,91.32855776,92.82845588,94.08819086,95.13995758,96.01372528,96.7366061
NCAR,SSP1_v9_130115,UZB,Population|Urban|Share,%,36.247,45.6940035,54.89778303,63.27303003,70.51161265,76.54611662,81.45804809,85.39587218,88.52318213,90.99267375
NCAR,SSP1_v9_130115,VEN,Population|Urban|Share,%,93.353,95.53781205,97.02736244,98.02993027,98.69890087,99.14269773,99.43598328,99.62931015,99.75653301,99.84016231
NCAR,SSP1_v9_130115,VNM,Population|Urban|Share,%,30.379,40.22181417,50.33109848,59.84521993,68.19818748,75.17175639,80.79884088,85.24055548,88.69832215,91.36698851
NCAR,SSP1_v9_130115,YEM,Population|Urban|Share,%,31.803,42.27122968,52.60943857,61.93484556,69.82783089,76.24821004,81.35527318,85.37216739,88.51657054,90.97498278
NCAR,SSP1_v9_130115,ZAF,Population|Urban|Share,%,61.702,68.82858517,75.16239748,80.57215273,85.03795217,88.62202685,91.43394585,93.60105684,95.24837344,96.48750758
NCAR,SSP1_v9_130115,ZMB,Population|Urban|Share,%,35.702,45.73976696,55.33727676,63.85548997,71.03992569,76.9117715,81.62703094,85.38036244,88.35733143,90.71690849
NCAR,SSP1_v9_130115,ZWE,Population|Urban|Share,%,38.254,47.31440104,55.86675935,63.48411535,70.00255649,75.44198878,79.915935,83.5687938,86.54241008,88.96210158
NCAR,SSP1_v9_130115,AFG,Population|Urban|Share,%,22.6,31.32972276,40.67008991,49.71750774,57.84195429,64.78413946,70.55249513,75.28460769,79.15376797,82.32394343
NCAR,SSP1_v9_130115,AGO,Population|Urban|Share,%,58.504,66.39654728,73.66159426,79.97757506,85.18339418,89.27856447,92.37820314,94.65423339,96.28760485,97.4402292
NCAR,SSP1_v9_130115,ALB,Population|Urban|Share,%,51.911,61.340007,69.51660307,76.27766145,81.6949701,85.94990879,89.25101971,91.79300943,93.74157788,95.23114638
NCAR,SSP1_v9_130115,ARE,Population|Urban|Share,%,84.05,86.56141667,88.72009549,90.5622316,92.12474064,93.4433655,94.55147808,95.47941694,96.25421252,96.89957575
NCAR,SSP1_v9_130115,ARG,Population|Urban|Share,%,92.393,94.08397819,95.41770739,96.46206271,97.2751949,97.90550092,98.39241317,98.76755688,99.05599761,99.2774256
